ticker,company,category,asset_type,shares
JNJ,Johnson & Johnson,Healthcare,Stock,1.06473
TSM,Taiwan Semiconductor Manufacturing,Semiconductor Foundry,ADR,0.55098
AMD,Advanced Micro Devices,Semiconductors,Stock,1.69943
RIVN,Rivian Automotive,EV/Speculative,Stock,10.0
RKLB,Rocket Lab,Space/Defense,Stock,6.6701
VST,Vistra,Energy/AI Power,Stock,0.133
FBCG,Fidelity Blue Chip Growth ETF,Growth ETF,ETF,1.0
NVDA,Nvidia,AI/Semiconductors,Stock,8.0
RSP,Invesco S&P 500 Equal Weight ETF,Equal Weight S&P 500 ETF,ETF,0.97624
LDOS,Leidos Holdings,Defense/IT,Stock,1.21565
GOOG,Alphabet,Big Tech/AI,Stock,0.89834
PLTR,Palantir Technologies,Defense/AI,Stock,12.0
CSCO,Cisco Systems,Networking,Stock,2.0
MSFT,Microsoft,Big Tech/AI,Stock,1.00231
CPNG,Coupang,E-Commerce,Stock,1.0
ATEYY,Advantest,Semiconductor Equipment,ADR,1.0
LOW,Lowe's,Consumer/Home Improvement,Stock,0.352
VOO,Vanguard S&P 500 ETF,S&P 500 ETF,ETF,0.32813
